country,total_duration,numSessions
US,65415629739231,73795196693
CZ,1353053304153,1546665463
SK,547708770286,679481378
PS,461934666225,745576792
CR,524046134147,660392867
MU,114050494294,161492676
KW,440072018607,730477967
RW,15980161569,26632646
MS,589842585,625657
CD,54033905335,79604241
SY,1335525084,2350063
DE,12209418776803,12865973675
TN,515780006654,772687389
EC,1069814752056,1435023081
VN,6452559134399,5008451001
MM,702885903879,974029666
JO,1267899246298,1697373505
LB,801148513848,1132274419
CW,24537025893,28451491
SZ,9917783789,13743231
ZM,57920428123,86975284
GM,14673757907,22799822
SB,2662434704,3245651
ME,71382654774,101349487
GG,10248685866,11715996
FK,259630663,305964
VA,8648929,8848
SC,11557605032,15425240
GR,1278960793476,1426293743
JP,25193248207276,23197316591
AE,1009550512792,1472756504
EE,179640417886,189323139
MA,876655899441,1573210380
UZ,832150918873,1285915970
XK,184428847803,308931358
YE,175643010817,293456619
GF,23365842828,30756469
NA,50414307518,69870852
MO,144930005086,112577860
AD,10856820207,12160767
MR,40299788550,67992832
ST,1483324576,2104981
WS,7362267611,9675350
FM,5634834831,7892458
CK,1685371900,2005294
LI,3790777386,4003155
ER,68397613,100371
TK,21028369,24445
KP,550328,385
UA,5492025278041,6118008493
NI,212016720172,299454601
LK,315529254412,486759920
NO,817215795451,885559188
SV,307099408016,426226232
GY,71378644247,95816546
ML,54682387329,88185955
MV,46936871807,66056998
SL,18061593777,29073210
BB,57625968191,59288446
AI,3263846392,3875491
SM,2720780538,3122659
AX,2603321276,2740030
KI,2264520273,2910060
IO,256706191,244956
NF,115044486,137470
CC,5995589,9811
MQ,48928006125,54051331
PA,345192573627,433231014
SJ,332564305,365454
SE,1633488449909,1892543928
HR,433960286684,544811140
MF,3530931571,4232068
GH,204483163134,307445927
MG,27948652979,34405766
BZ,31133324076,39594483
ET,76128543712,135286287
MP,1564945605,1706460
GN,30103837736,43375387
TC,4636083510,6072506
FO,7399876447,9057680
JE,15137155915,17359426
TW,9657618046594,6315103076
AR,4333409843137,5160447489
SI,228742218179,270234858
PT,1229073255305,1414127152
CY,167932848650,214631896
BW,31215694369,46176968
PG,27129340323,31150063
VU,3675648659,4634452
LA,231737677156,296656553
BF,45158907904,70636665
MX,9377237306970,13070044832
AT,1076062047795,1171433913
CL,2787349814629,3287907302
NP,501518377629,855898539
TT,220358761917,248205284
ZW,49022787167,73130057
UG,82140636812,117450540
AM,295115232914,426625459
CH,1048486728086,1196809552
KN,7213208953,8197148
GA,37526561136,54331734
LC,24479262856,27336833
CI,176035357593,248436467
GL,9285959017,12230646
SX,8149325512,9151662
null,898493,649
CA,7210125006096,7538132448
BE,1526590903074,1752493464
BY,1497485231971,1711787706
SG,1442606733220,1261997000
ZA,1640823382802,2099843479
QA,237373901884,353444077
AS,5947902336,8770602
PY,304620030699,409060170
HT,65532688905,94017685
MN,259453267186,402519036
NC,36446151673,40665666
BI,3895681183,7082500
GS,155147,168
TR,8670108815734,12545438495
TH,11421227942970,8845000614
PL,3935511543990,4834007127
GB,10847977034851,12864390353
BD,2058997502212,3065113108
LU,85558657542,96524862
PH,9911464499843,10372520165
BN,84240539412,95107228
RS,603875438416,798669480
GE,390467102458,560426526
CM,107999510934,140935110
GQ,5664351050,8017329
TD,7404671302,13021768
GD,13161835140,15508649
AL,207284909185,326637937
BH,140123901595,228779661
MK,172529750798,253241058
VG,4905561256,5392998
CG,11986592748,17308864
SD,120577831534,196071311
CX,27995913,31767
UM,3524569,3985
RU,22447255994691,25303426178
OM,275780197343,517458825
RO,1679540366309,2221281552
CN,69188491031043,57299072981
NL,2593469661446,3016082867
EH,10213925881,19689459
IS,61662409308,67445331
BO,694503141882,836902928
GP,63423605116,73582462
SR,49126506211,66342235
BA,230947258458,322930336
JM,257867946860,328975422
LR,12790033858,18305025
BQ,3833284257,4647854
BL,1407221710,1596100
IT,6231630437834,7755736051
FR,10129860380771,11452659954
EG,4317640687157,7828564065
LY,372832378628,653356172
AZ,727393178652,1092156047
IQ,3133719353918,6650743822
GU,45614710949,50257841
NG,498675187600,806951370
MH,4128398937,6143056
LS,6761873793,8709706
DM,7085071297,8104810
CU,251990191,358089
BM,10780839111,10585804
UY,383677972829,459583308
KZ,2370027093570,3256181726
GT,566015166804,838609998
ID,17275297693939,20770610917
HU,1130292334586,1365028939
LV,276675645981,296691511
KY,8680297610,9779560
TJ,127164359150,212599265
NE,31906876580,56811861
GI,6553252511,7390239
BT,30434106647,42778630
IM,14238260000,15870596
MT,61904948332,71296533
NR,1487793273,1770236
WF,488363276,640293
CF,1772879410,2211290
PN,1426524,879
AU,4460964113217,5095905506
BR,18205370097538,24219318029
HN,362159546367,540910401
DO,696602339394,1056788787
IE,555507208282,674492348
MD,307905519514,383065379
YT,10501757052,17163415
KR,15446963761180,11442173240
IL,1201234157953,1752703129
VE,1144053060735,1396969877
KG,468616125470,687789070
AF,143095093407,236557580
VC,16549517578,20851799
TG,27697170713,40728767
BS,48600007904,59624240
TO,5333611944,7626632
KM,3094816418,5100722
TF,602850,632
IN,36349023479594,63242111708
HK,2686040682309,2201607920
MZ,52466915991,77193731
DJ,14353815756,20969935
AO,53413446017,76846971
AG,15823693193,18061867
FJ,36994665559,51569774
MW,12334604079,18572933
BJ,32312816143,46532611
AW,16860945158,19629527
GW,3457014571,5096436
PW,2429753782,2889079
PF,34646442612,40125048
CO,3009751853602,4027818069
KE,244147276997,401920345
PK,3347093407200,6129392804
MY,4445756740337,4921397685
NZ,782903706145,857029513
SN,177438911777,272443844
KH,717922453075,1144821108
PR,342482593103,404138780
SO,67207404480,133450017
NU,115564496,168357
SH,187913622,224159
TV,354554388,444433
AQ,11199039,11416
PE,2322300723870,2783795285
SA,3012928759215,5660661291
DZ,1253771995821,2275988905
ES,5455565623531,6298573252
BG,644843427497,822265450
DK,1006186499208,1123179808
LT,393230299748,445560318
TZ,95890922157,144160953
VI,13180125099,14867576
FI,680184042208,791046842
RE,121533599001,148244025
IR,14465354248,27538422
TM,124531861173,203403336
CV,13038588993,18074277
TL,23744921518,34242679
PM,1294047065,1338414
MC,3648926162,3924781
SS,5837622575,7533490
BV,15099,20